"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000169245",3825.25841675262,4.66730892346852,0.217466121540568,21.4622346248901,3.51021198792913e-102,2.69821219982143e-98
"ENSG00000117228",25869.5091518067,2.46930790056047,0.142297499559603,17.353136268752,1.86763656076839e-67,1.74012791921048e-64
"ENSG00000226004",141.278447668218,4.12717406013656,0.215825798573091,19.122709552903,1.63394616489014e-81,4.18657856098975e-78
"ENSG00000115267",17333.994413305,2.17580066484417,0.124005625139109,17.5459835987551,6.38379355486088e-69,6.33169356230024e-66
"ENSG00000115884",53.8703867107658,3.40941780770407,0.328086119276671,10.3918380186909,2.70097188062466e-25,1.90912143479463e-23
"ENSG00000120217",4564.14431535581,2.77186723801667,0.173006864042691,16.0217182905106,9.01249474821264e-58,4.61845293372157e-55
"ENSG00000224110",0.9018116379749,2.86822009016436,0.887495975039099,3.23181194149979,0.0012300798118208,0.00565086866488184
"ENSG00000108679",68.2292628517938,2.11255376664629,0.197685837962106,10.6864193632891,1.17832653075122e-26,9.36175861524746e-25
"ENSG00000273901",0.832869365123893,2.23399818739219,0.867894017940924,2.57404491932361,0.0100517222208711,0.0350876465869779
"ENSG00000183010",14.4717120079069,2.19117006351148,0.394414280375991,5.55550387633699,2.76812071443793e-08,3.17817056037428e-07
"ENSG00000115380",1.45998159994261,3.20226441362579,1.05796723757207,3.02680867601787,0.00247150335755169,0.0104482103546154
"ENSG00000263644",0.628775609422642,-2.28460907166586,0.81338913512238,-2.80875287487351,0.00497338068666187,0.0191624731795479
"ENSG00000185507",225.418228470739,2.43005577809567,0.233576314897144,10.4036908843508,2.38511797639916e-25,1.7015132812145e-23
"ENSG00000164692",2.70900104181794,2.56832109662622,0.840502130175397,3.05569849786135,0.00224536920260281,0.00958999400922749
"ENSG00000017427",4.26069368236743,2.09834034542323,0.424968941284158,4.93763223985859,7.90767838880883e-07,7.2470160185009e-06
"ENSG00000279923",2.245806096831,4.66516764422504,2.21081021571555,2.11016197187017,0.0348444068386889,0.0989252979749924
"ENSG00000250532",4.79604168173482,2.00687312371065,0.353881970069008,5.67102393862933,1.41946560086594e-08,1.70153250798538e-07
"ENSG00000002549",7627.53938321644,2.08624510412468,0.116863611993899,17.8519649404092,2.79043353565782e-71,3.73032434438569e-68
"ENSG00000111199",2.13619019842832,2.00576923847475,0.542089745452542,3.70006858698334,0.000215541205553007,0.00118959710054538
"ENSG00000227212",1.34716242671857,3.51574645408858,1.38242079406198,2.5431811132978,0.0109848274095403,0.0378389523147138
"ENSG00000242795",0.83688634545739,-2.57385066885391,0.61628090371744,-4.17642450598144,2.96126960109762e-05,0.000197935122662932
"ENSG00000254287",68.2617733963663,3.10900556181502,0.265337354171682,11.7171800838995,1.04079015854687e-31,1.18085516623028e-29
"ENSG00000253398",0.838042166605225,-2.45325014678249,0.543145194891004,-4.51674832044644,6.27964673473893e-06,4.83063042664543e-05
"ENSG00000227555",1.75987519257512,3.73717282472535,0.734522695008315,5.08789292709744,3.62063679022722e-07,3.50515489260442e-06
"ENSG00000253838",26.6866590022454,3.06509688573186,0.265223512128801,11.5566559734091,6.83177211051094e-31,7.29362837089861e-29
"ENSG00000273428",0.745125008994424,2.29590137947877,1.04141426641575,2.20459950810988,0.0274822103190946,0.0815396623256973
"ENSG00000226377",1.64141860798435,2.43658470456455,0.594288843496675,4.10000075086078,4.13148797791445e-05,0.000267320835136649
"ENSG00000250612",3.18440081706231,-2.04146276073868,0.527663014048748,-3.86887598028631,0.000109338235519415,0.000644521228434709
"ENSG00000170965",0.787210272721853,2.25544406726348,0.857817219977502,2.62928280610015,0.00855651701684829,0.030563107425306
"ENSG00000078098",333.718382170617,4.15358273807309,0.226258160186554,18.3577146329149,2.86409332978132e-75,4.40311388053931e-72
"ENSG00000214651",224.768946130558,2.48940915802992,0.141839789668964,17.550852012964,5.85943920860924e-69,6.04997409708007e-66
"ENSG00000236841",36.6546744440241,3.95745970576501,0.324683231118829,12.1886790769205,3.57163681101015e-34,4.83775845938894e-32
"ENSG00000168702",12.7863757439502,-2.67464904758432,0.321030762577836,-8.33144159178774,7.98638363542922e-17,2.54200142482963e-15
"ENSG00000211973",28.8232312160769,2.12912510950465,0.314031608438759,6.77997071724664,1.20200243044137e-11,2.22906928400367e-10
"ENSG00000280091",3.99427254119995,5.49602297674816,2.09994944438524,2.61721680559654,0.0088650014719723,0.0315112370241309
"ENSG00000124785",54.8184946295076,2.21751092484836,0.268340884184326,8.26378332764651,1.41126674701732e-16,4.38305239096378e-15
"ENSG00000158481",256.240535806824,-2.1046954948452,0.1248666898157,-16.8555400799979,9.55314278894621e-64,6.6756927575393e-61
"ENSG00000275379",23.5662862573029,2.2759822382263,0.992346007801928,2.29353695216415,0.0218171104719227,0.0674181603698701
"ENSG00000278784",5.34828665263448,5.91726251009284,2.89644916493444,2.04293677297346,0.0410586974956012,0.113117943432176
"ENSG00000276368",22.9473143808799,3.03097811103934,1.23345091446549,2.45731554899596,0.0139979672986784,0.0464188417312839
"ENSG00000137563",362.291832695107,2.04487987723762,0.188724081674592,10.8352885285912,2.34225864087418e-27,1.98395114134871e-25
"ENSG00000034239",2.51244320480194,-3.36395722530068,0.530267725951502,-6.34388453354287,2.24042774338752e-10,3.43230851150653e-09
"ENSG00000230709",18.8539204737474,2.43429401055148,0.338553983071793,7.19026841292625,6.46640718677397e-13,1.40304524595687e-11
"ENSG00000137959",55896.9202212186,2.33514002190779,0.147027351255543,15.8823511541683,8.39709288099304e-57,4.03414710643583e-54
"ENSG00000215397",15.097347618465,-2.29793703342097,0.245082122642664,-9.37619198268258,6.83984873070051e-21,3.32235116781752e-19
"ENSG00000228587",2.86381433169775,2.73559877366829,0.402121153904808,6.80292182369463,1.02518287524594e-11,1.92203035763335e-10
"ENSG00000267172",1.60336673107822,2.0350265521579,0.708533515333423,2.87216695910321,0.00407667524300602,0.0161216120510233
"ENSG00000229183",3.68787122665577,-2.89442705405057,0.432401523021987,-6.69384102493874,2.17387579196417e-11,3.85245873057766e-10
"ENSG00000253297",2.69920668525739,2.18110443383882,0.691274560791542,3.15519267965156,0.00160392142223221,0.00712655664297308
"ENSG00000270909",12.6749908301214,-3.63984047212199,0.27697556655536,-13.1413774774046,1.90722905156795e-39,3.46991548216329e-37
"ENSG00000258529",5.41349781800021,-2.36837974113496,1.14788466167486,-2.0632558480913,0.0390883265322678,0.108709581980295
"ENSG00000149131",536.653592004042,2.76203953931485,0.154237813417062,17.9076678936457,1.02751387953552e-71,1.43604405700358e-68
"ENSG00000077522",2.19366473040281,2.34875097718451,0.62993599068852,3.72855498320921,0.00019258089366769,0.00107620587742647
"ENSG00000249485",10.056650750119,24.4047311054155,1.4385674432638,16.9646068522491,1.50100902744546e-64,1.12564694065526e-61
"ENSG00000236922",1.6170456689521,-3.14373667374275,1.01232915057491,-3.10544912389158,0.00189990301544909,0.00828482740263978
"ENSG00000184313",7.08464849713769,-2.02669872370254,0.427805859406448,-4.73742628610661,2.16449549423643e-06,1.8223368828392e-05
"ENSG00000189337",20.8413060755639,-2.0362430571783,0.263259802101343,-7.73472835930509,1.03624119853378e-14,2.73487623444791e-13
"ENSG00000121858",29962.7210639669,2.40591644380947,0.172254499596911,13.9672197210493,2.47085514983349e-44,6.02947486443891e-42
"ENSG00000226926",4.42308812586243,2.17650442180198,0.544608989710172,3.9964533507981,6.42985449894298e-05,0.000400605342004052
"ENSG00000184678",590.949554278219,2.25126255512055,0.827013848297503,2.7221582319994,0.00648570800458673,0.0240608185348731
"ENSG00000089685",105.39915745988,2.20578541789618,0.221231489293003,9.97048577915057,2.05222608622889e-23,1.25947695555448e-21
"ENSG00000241832",7.89697320991825,2.27034619130338,0.409411150178154,5.54539413573726,2.93292747125616e-08,3.35361550608825e-07
"ENSG00000074771",3.30213928016478,2.35846528867874,0.395239508101488,5.96718000183612,2.41389068875745e-09,3.2255496309094e-08
"ENSG00000246375",18.9288952683363,2.38591895015731,0.217656442607779,10.9618576944987,5.8290368475918e-28,5.13539816483969e-26
"ENSG00000271474",5.01614387729312,3.59891661439514,0.797387176943661,4.51338661876854,6.38005640335785e-06,4.9041898558511e-05
"ENSG00000164270",15.133202542812,2.30187813139014,0.260115926251805,8.84943173053467,8.79660537523658e-19,3.44108429354197e-17
"ENSG00000229922",22.7752734035644,3.86234687522094,0.273772034541161,14.107894115972,3.39567454525666e-45,8.7736811128577e-43
"ENSG00000204421",0.999268555276537,2.65453019155586,0.685660646533176,3.87149270557912,0.000108170894956981,0.000638864868851767
"ENSG00000277840",3.07934019701312,5.12069122552765,2.06547050174675,2.479188747163,0.0131681602839326,0.0440423609539949
"ENSG00000147573",2.81187317164041,2.97521377862705,0.591805505141014,5.02735062918707,4.97302573611781e-07,4.68604420191279e-06
"ENSG00000119915",21.9889968936112,2.48731648091833,0.227076254376939,10.9536617456683,6.38146061444691e-28,5.60602198606854e-26
"ENSG00000119917",50546.9259524717,2.90152990307148,0.257382857252337,11.2732057373457,1.7796988597722e-29,1.74825561793661e-27
"ENSG00000187979",4.26351425202433,2.38978156050343,0.243178300645929,9.82728127532639,8.59065954725709e-23,5.00259486930897e-21
"ENSG00000228952",0.734823925507366,2.53468292480564,0.715181109120366,3.54411336161153,0.000393935825967103,0.00205259190662778
"ENSG00000135903",3.92201800927031,4.96804984416305,0.555243629438358,8.9475134531275,3.63579668937265e-19,1.47921154140617e-17
"ENSG00000188282",183.367859673395,3.32058303201245,0.186953359451324,17.7615585072008,1.40284632070861e-70,1.79722149261781e-67
"ENSG00000228742",1.25257686022844,2.7642437195337,0.864563921220965,3.1972693420169,0.00138735317075752,0.00627954481691176
"ENSG00000254709",426.323116403065,2.26560549518764,0.37327806456984,6.06948468241361,1.28321329727607e-09,1.78771904174659e-08
"ENSG00000252019",1.35654349914313,3.93837024838483,1.5905265389594,2.47614242951364,0.0132810584314303,0.0443668734888294
"ENSG00000233785",61.1181370445398,3.83765234310091,0.206283496383707,18.603777860942,2.99442441983087e-77,5.75434797728374e-74
"ENSG00000179603",1.84321265236477,2.46957875971758,0.656214458791829,3.76337145064493,0.000167637916822407,0.000951516158120462
"ENSG00000253557",1.50830311327016,2.56717691878276,0.580090105937588,4.42547958068253,9.62282593025299e-06,7.15187403619745e-05
"ENSG00000108688",6.53359493567699,4.87757735961033,0.535629493583732,9.10625239655113,8.52767926154385e-20,3.75108089062502e-18
"ENSG00000066405",74.9638478433865,3.00023646679865,0.266329922316955,11.2651122363492,1.95103193339362e-29,1.90439297955725e-27
"ENSG00000259225",8.28850977185636,-2.40311129554639,0.306213467092094,-7.84783020279003,4.23296773761643e-15,1.15279945995122e-13
"ENSG00000252835",14.4627207010918,-4.89566219928864,0.98512987700678,-4.96956017024235,6.71049449007508e-07,6.20161028212619e-06
"ENSG00000183549",0.908071126564182,-2.55088125171624,0.702596188194039,-3.63065057081089,0.000282707719028579,0.00151902738144195
"ENSG00000164045",192.313646914428,2.52202804007195,0.20660230885253,12.2071629019023,2.84642589302859e-34,3.87252464305089e-32
"ENSG00000254829",0.567148233454254,2.30675961455463,1.05000712454057,2.19689901205571,0.028027659433579,NA
"ENSG00000136099",1.4957839661105,-2.3693986345432,0.855213115946355,-2.7705358937594,0.0055964131613346,0.0211932982205021
"ENSG00000137491",4.37074931211058,2.44263972243007,0.39697848723393,6.15307831779479,7.59932537180715e-10,1.08930749280631e-08
"ENSG00000087116",7.5135989843503,3.01758520126465,0.533461580021365,5.65661204906976,1.54390199996563e-08,1.83922335501524e-07
"ENSG00000276903",10.1009797447671,6.67407679272642,1.96766263528095,3.39188063698404,0.000694146727337261,0.00340614896671541
"ENSG00000169385",811.178685092998,2.2435803151562,0.237709996816002,9.43830863324117,3.78845046672031e-21,1.92216974422854e-19
"ENSG00000261716",10.8587878550336,-25.1896880005276,2.89618500931861,-8.69754104778479,3.39153074598013e-18,1.24736119433793e-16
"ENSG00000228928",0.836711793790153,2.33089456674985,0.937653578538366,2.48588030814461,0.0129231422303518,0.0434022778980478
"ENSG00000179577",1.39613677284519,2.47713901941915,0.811299580657534,3.05329754689569,0.00226341389763089,0.00966169472587214
"ENSG00000197153",48.3843643969489,8.5720507794937,1.14059363328381,7.51542927239954,5.67244966516578e-14,1.38972756856456e-12
"ENSG00000176046",36.3657064082275,2.70435731562664,0.229430807322857,11.7872457809079,4.54151078096656e-32,5.35010850507199e-30
